Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
38;21101041418;"Computing and Software for Big Science";journal;"25102044";"Springer Nature";No;No;1,449;Q1;24;19;59;921;214;55;3,45;48,47;24,24;0;0;Switzerland;Western Europe;"Springer Nature";"2017-2025";"Computer Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Software (Q1)";"Computer Science; Physics and Astronomy"
39;18711;"IEEE Transactions on Software Engineering";journal;"00985589";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,447;Q1;193;186;721;13650;5302;721;6,78;73,39;26,90;0;12;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1975-2025";"Software (Q1)";"Computer Science"
40;25040;"INFORMS Journal on Computing";journal;"10919856, 15265528";"INFORMS Institute for Operations Research and the Management Sciences";No;No;1,439;Q1;93;97;372;3953;1223;358;3,14;40,75;21,03;0;6;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2001, 2003-2025";"Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1); Software (Q1)";"Computer Science; Decision Sciences"
41;27237;"IEEE/ACM Transactions on Networking";journal;"10636692";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,394;Q1;187;423;623;21180;3474;623;5,02;50,07;26,48;0;28;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2024";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
42;12960;"International Journal of Human Computer Studies";journal;"10959300, 10715819";"Academic Press";No;No;1,394;Q1;152;129;323;10287;2874;321;6,96;79,74;36,60;0;14;United States;Northern America;"Academic Press";"1994-2025";"Education (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science; Engineering; Social Sciences"
43;26422;"SIAM Journal on Optimization";journal;"10526234, 10957189";"Society for Industrial and Applied Mathematics Publications";No;No;1,388;Q1;152;136;349;6094;1031;349;2,32;44,81;19,57;0;1;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1991, 1996-2025";"Applied Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
44;19400158592;"Mathematical Programming Computation";journal;"18672949, 18672957";"Springer Verlag";No;No;1,351;Q1;46;21;60;951;350;60;6,36;45,29;16,67;0;0;Germany;Western Europe;"Springer Verlag";"2009-2025";"Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
45;23490;"Journal of Scientific Computing";journal;"08857474, 15737691";"Springer New York";No;No;1,348;Q1;96;330;1001;14434;3209;1000;3,18;43,74;29,54;0;3;United States;Northern America;"Springer New York";"1986-2025";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Engineering (miscellaneous) (Q1); Numerical Analysis (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Engineering; Mathematics"
46;18661;"Structural and Multidisciplinary Optimization";journal;"16151488, 1615147X";"Springer Verlag";No;No;1,339;Q1;147;215;991;10917;4898;986;4,36;50,78;19,12;0;48;Germany;Western Europe;"Springer Verlag";"2000-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
47;18121;"ACM Transactions on Software Engineering and Methodology";journal;"15577392, 1049331X";"Association for Computing Machinery (ACM)";No;No;1,283;Q1;91;188;342;15647;2365;339;6,51;83,23;28,79;1;7;United States;Northern America;"Association for Computing Machinery (ACM)";"1992-2025";"Software (Q1)";"Computer Science"
