Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
38;21100396641;"Proceedings International Conference on Automated Planning and Scheduling, ICAPS";conference and proceedings;"23340835, 23340843";"Association for the Advancement of Artificial Intelligence";No;No;0,601;-;41;83;246;2441;513;241;2,01;29,41;20,85;0;3;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2014-2024";"Artificial Intelligence; Computer Science Applications; Information Systems and Management";"Computer Science; Decision Sciences"
39;21100198411;"Proceedings of the International Symposium on Wireless Communication Systems";conference and proceedings;"21540217, 21540225";"V D E Verlag GmbH";No;No;0,592;-;36;129;171;2344;315;169;2,21;18,17;17,15;0;10;United States;Northern America;"V D E Verlag GmbH";"1995, 2011-2013, 2015-2019, 2021-2022, 2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";"Computer Science; Engineering"
40;21100217219;"Proceedings of the IEEE Sensor Array and Multichannel Signal Processing Workshop";conference and proceedings;"2151870X, 15512282";"IEEE Computer Society";No;No;0,579;-;31;87;95;2026;153;95;1,61;23,29;21,88;0;0;United States;Northern America;"IEEE Computer Society";"2000, 2002, 2012, 2014, 2016, 2018, 2020, 2022, 2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Signal Processing";"Computer Science; Engineering"
41;145223;"Proceedings - International Conference on Network Protocols, ICNP";conference and proceedings;"10921648";"IEEE Computer Society";No;No;0,575;-;73;87;205;2968;414;196;1,44;34,11;23,51;0;5;United States;Northern America;"IEEE Computer Society";"2002-2014, 2016-2024";"Computer Networks and Communications; Engineering (miscellaneous); Software";"Computer Science; Engineering"
42;145123;"Proceedings - International Symposium on Software Reliability Engineering, ISSRE";conference and proceedings;"10719458";"IEEE Computer Society";No;No;0,556;-;66;56;178;2636;500;169;2,52;47,07;31,89;0;3;United States;Northern America;"IEEE Computer Society";"1991-2012, 2014, 2016-2024";"Engineering (miscellaneous); Safety, Risk, Reliability and Quality; Software";"Computer Science; Engineering"
43;12906;"Proceedings of the IEEE Symposium on Reliable Distributed Systems";conference and proceedings;"10609857";"IEEE Computer Society";No;No;0,550;-;52;36;91;1408;184;82;1,74;39,11;20,00;0;4;United States;Northern America;"IEEE Computer Society";"1992, 1994-2024";"Computer Networks and Communications; Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
44;63659;"European Solid-State Circuits Conference";conference and proceedings;"19308833";"IEEE Computer Society";No;No;0,545;-;41;190;130;2087;199;128;1,53;10,98;19,96;0;31;United States;Northern America;"IEEE Computer Society";"1975-1977, 1992-1993, 1998-2003, 2011-2016, 2023-2024";"Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
45;21101199922;"Proceedings - IEEE Global Communications Conference, GLOBECOM";conference and proceedings;"25766813, 23340983";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,535;-;85;0;3255;0;5370;3246;1,43;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2012-2023";"Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture; Signal Processing";"Computer Science"
46;51882;"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers";conference and proceedings;"10923152";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,518;-;102;0;523;0;1408;517;2,34;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995-2013, 2015-2023";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Software";"Computer Science"
47;21101185422;"Proceedings of the AAAI Conference on Human Computation and Crowdsourcing, HCOMP";conference and proceedings;"27691330, 27691349";"Association for the Advancement of Artificial Intelligence";No;No;0,513;-;18;18;57;793;165;54;2,60;44,06;38,81;0;6;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2019-2024";"Computational Theory and Mathematics; Human-Computer Interaction";"Computer Science"
